measure,location,sex,age,cause,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Tuberculosis,Rate,1990,1650.5905846481737,1824.7163473931978,1457.6365454571733
DALYs (Disability-Adjusted Life Years),Low SDI,Both,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,5600.870649466242,6565.480624936907,4813.275902770055
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,1636.7961014359303,1811.303197053988,1439.7947215520535
DALYs (Disability-Adjusted Life Years),Middle SDI,Both,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1991,37.962036611623056,91.10655104735159,12.603337448134145
DALYs (Disability-Adjusted Life Years),Middle SDI,Both,Age-standardized,Extensively drug-resistant tuberculosis,Rate,1991,0.0048755740891284075,0.01959921528751533,0.0010763852657231104
DALYs (Disability-Adjusted Life Years),Middle SDI,Both,Age-standardized,Latent tuberculosis infection,Rate,1991,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,13.794483212240861,32.79351582438804,5.175291088867985
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Extensively drug-resistant tuberculosis,Rate,1990,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Latent tuberculosis infection,Rate,1990,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Middle SDI,Both,Age-standardized,Tuberculosis,Rate,1990,1347.2233325866616,1467.6016814616066,1182.0744704887538
DALYs (Disability-Adjusted Life Years),Low SDI,Both,Age-standardized,Extensively drug-resistant tuberculosis,Rate,1990,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Low SDI,Both,Age-standardized,Latent tuberculosis infection,Rate,1990,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Middle SDI,Both,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,1322.1020421488663,1435.980338090831,1159.657717311784
DALYs (Disability-Adjusted Life Years),Middle SDI,Both,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,25.121290437795604,65.75612667249572,7.2532148809493
DALYs (Disability-Adjusted Life Years),Middle SDI,Both,Age-standardized,Extensively drug-resistant tuberculosis,Rate,1990,0.0,0.0,0.0
