measure,location,sex,age,cause,metric,year_start,year_end,val,upper,lower
Deaths,High-middle SDI,Male,Age-standardized,Tuberculosis,Rate,1990,2021,-0.7815694481604417,-0.6782620878932708,-0.8338449821417092
Deaths,High-middle SDI,Female,Age-standardized,Tuberculosis,Rate,1990,2021,-0.8177129140114463,-0.7800413023845889,-0.8406440251458754
Deaths,High-middle SDI,Both,Age-standardized,Tuberculosis,Rate,1990,2021,-0.7879309311544397,-0.7232618645085789,-0.8252314086753922
Deaths,Global,Male,Age-standardized,Tuberculosis,Rate,1990,2021,-0.6487233129899708,-0.47329031017574885,-0.7166458091048771
Deaths,Global,Female,Age-standardized,Tuberculosis,Rate,1990,2021,-0.6646135621473095,-0.6183816030133339,-0.7053756640662927
Deaths,Global,Both,Age-standardized,Tuberculosis,Rate,1990,2021,-0.650994182903888,-0.5511102078974608,-0.6935502055455385
Deaths,High-middle SDI,Male,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.8137387795485406,-0.7151538079478769,-0.8607468722334578
Deaths,High-middle SDI,Female,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.8403672806286039,-0.7963997543905311,-0.8670690898061579
Deaths,High-middle SDI,Both,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.8185562172888852,-0.7570275237487557,-0.8575840737215609
Deaths,High SDI,Male,Age-standardized,Tuberculosis,Rate,1990,2021,-0.8172022685908679,-0.7825381528699464,-0.8377252413968815
Deaths,High SDI,Female,Age-standardized,Tuberculosis,Rate,1990,2021,-0.7812180321830995,-0.7504748470475309,-0.8053666539311969
Deaths,High SDI,Both,Age-standardized,Tuberculosis,Rate,1990,2021,-0.8024017638535256,-0.7738567814950772,-0.8219133475102004
Deaths,High-middle SDI,Male,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,2021,-0.1986102420106395,1.6311987025599746,-0.6907470234386732
Deaths,High-middle SDI,Female,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,2021,-0.40126083053549544,0.9128430990486883,-0.7645923063744764
Deaths,High-middle SDI,Both,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,2021,-0.23027288059401932,1.4265941206155848,-0.6961941914804887
Deaths,High SDI,Male,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.8220188903972556,-0.7882187028426898,-0.8420535474268216
Deaths,High SDI,Female,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.7865888724569585,-0.7577388700446696,-0.8117333669264374
Deaths,High SDI,Both,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.8075921945313568,-0.7798174922790319,-0.8271554937922903
Deaths,Global,Male,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.6800484088955858,-0.5229124930907139,-0.7483770627117768
Deaths,Global,Female,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.6950939147319567,-0.6468204474340428,-0.7372919388912786
Deaths,Global,Both,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.6823936399397584,-0.5938579521843158,-0.733061916152486
Deaths,High SDI,Male,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,2021,-0.6810669637653483,-0.38017320013613065,-0.8355760428877417
Deaths,High SDI,Female,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,2021,-0.6221754986404812,-0.24525798650282532,-0.8143826691051008
Deaths,High SDI,Both,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,2021,-0.6544239642088502,-0.3325975184462577,-0.8219255841339079
Deaths,Global,Male,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,2021,2.363718939808533,7.8677203885308895,0.3448251551032983
Deaths,Global,Female,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,2021,2.494362948424995,7.729141480514298,0.4309766925994088
Deaths,Global,Both,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,2021,2.450958424753857,7.392104934380246,0.3716753772479005
Deaths,Low-middle SDI,Male,Age-standardized,Tuberculosis,Rate,1990,2021,-0.6528020261019596,-0.4632020957437218,-0.7384418065947971
Deaths,Low-middle SDI,Female,Age-standardized,Tuberculosis,Rate,1990,2021,-0.689944920917607,-0.631603466700059,-0.7563445717130686
Deaths,Low-middle SDI,Both,Age-standardized,Tuberculosis,Rate,1990,2021,-0.6723402202733625,-0.5637749321064082,-0.727263961609166
Deaths,Low SDI,Male,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,2021,8.016069979787902,18.79411555405144,3.255231649876723
Deaths,Low SDI,Female,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,2021,7.515119762357438,16.772646953026157,3.186258723596131
Deaths,Low SDI,Both,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,2021,7.741477730653253,16.997148974933484,3.266465632948879
Deaths,Low SDI,Male,Age-standardized,Tuberculosis,Rate,1990,2021,-0.5952909287048433,-0.39298111187911905,-0.6775269884484545
Deaths,Low SDI,Female,Age-standardized,Tuberculosis,Rate,1990,2021,-0.6303566413594666,-0.5693060246669732,-0.6801706355780796
Deaths,Low SDI,Both,Age-standardized,Tuberculosis,Rate,1990,2021,-0.6127647153285876,-0.5039222551460165,-0.6673446166441052
Deaths,Low-middle SDI,Male,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.6886382482621513,-0.5212324276493672,-0.776464512724217
Deaths,Low-middle SDI,Female,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.7243064626213483,-0.6681959089431229,-0.7856202998948365
Deaths,Low-middle SDI,Both,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.7071446519077769,-0.6110171225239373,-0.7721119312055619
Deaths,Low-middle SDI,Male,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,2021,14.500187953455663,47.16954802227397,3.7782820444030345
Deaths,Low-middle SDI,Female,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,2021,13.525133831937564,43.21225446972634,3.422196940254365
